,Date,To_Date,Predict_values
249,2004-02-15,2004-02-22,0
250,2004-02-22,2004-02-29,1
251,2004-02-29,2004-03-07,1
252,2004-03-07,2004-03-14,0
253,2004-03-14,2004-03-21,1
254,2004-03-21,2004-03-28,0
255,2004-03-28,2004-04-04,1
256,2004-04-04,2004-04-11,1
257,2004-04-11,2004-04-18,0
258,2004-04-18,2004-04-25,0
259,2004-04-25,2004-05-02,1
260,2004-05-02,2004-05-09,0
261,2004-05-09,2004-05-16,1
262,2004-05-16,2004-05-23,1
263,2004-05-23,2004-05-30,0
264,2004-05-30,2004-06-06,0
265,2004-06-06,2004-06-13,0
266,2004-06-13,2004-06-20,1
267,2004-06-20,2004-06-27,1
268,2004-06-27,2004-07-04,0
269,2004-07-04,2004-07-11,0
270,2004-07-11,2004-07-18,0
271,2004-07-18,2004-07-25,0
272,2004-07-25,2004-08-01,1
273,2004-08-01,2004-08-08,1
274,2004-08-08,2004-08-15,0
275,2004-08-15,2004-08-22,0
276,2004-08-22,2004-08-29,0
277,2004-08-29,2004-09-05,1
278,2004-09-05,2004-09-12,1
279,2004-09-12,2004-09-19,0
280,2004-09-19,2004-09-26,0
281,2004-09-26,2004-10-03,0
282,2004-10-03,2004-10-10,0
283,2004-10-10,2004-10-17,0
284,2004-10-17,2004-10-24,1
285,2004-10-24,2004-10-31,0
286,2004-10-31,2004-11-07,0
287,2004-11-07,2004-11-14,0
288,2004-11-14,2004-11-21,0
289,2004-11-21,2004-11-28,0
290,2004-11-28,2004-12-05,0
291,2004-12-05,2004-12-12,0
292,2004-12-12,2004-12-19,1
293,2004-12-19,2004-12-26,1
294,2004-12-26,2005-01-02,0
295,2005-01-02,2005-01-09,0
296,2005-01-09,2005-01-16,1
297,2005-01-16,2005-01-23,1
298,2005-01-23,2005-01-30,0
299,2005-01-30,2005-02-06,0
300,2005-02-06,2005-02-13,0
301,2005-02-13,2005-02-20,0
302,2005-02-20,2005-02-27,0
303,2005-02-27,2005-03-06,0
304,2005-03-06,2005-03-13,0
305,2005-03-13,2005-03-20,0
306,2005-03-20,2005-03-27,1
307,2005-03-27,2005-04-03,1
308,2005-04-03,2005-04-10,1
309,2005-04-10,2005-04-17,0
310,2005-04-17,2005-04-24,0
311,2005-04-24,2005-05-01,0
312,2005-05-01,2005-05-08,1
313,2005-05-08,2005-05-15,1
314,2005-05-15,2005-05-22,1
315,2005-05-22,2005-05-29,1
316,2005-05-29,2005-06-05,0
317,2005-06-05,2005-06-12,1
318,2005-06-12,2005-06-19,1
319,2005-06-19,2005-06-26,0
320,2005-06-26,2005-07-03,1
321,2005-07-03,2005-07-10,1
322,2005-07-10,2005-07-17,1
323,2005-07-17,2005-07-24,0
324,2005-07-24,2005-07-31,0
325,2005-07-31,2005-08-07,0
326,2005-08-07,2005-08-14,0
327,2005-08-14,2005-08-21,0
328,2005-08-21,2005-08-28,1
329,2005-08-28,2005-09-04,1
330,2005-09-04,2005-09-11,0
331,2005-09-11,2005-09-18,0
332,2005-09-18,2005-09-25,1
333,2005-09-25,2005-10-02,1
334,2005-10-02,2005-10-09,1
335,2005-10-09,2005-10-16,0
336,2005-10-16,2005-10-23,0
337,2005-10-23,2005-10-30,1
338,2005-10-30,2005-11-06,0
339,2005-11-06,2005-11-13,1
340,2005-11-13,2005-11-20,1
341,2005-11-20,2005-11-27,1
342,2005-11-27,2005-12-04,1
343,2005-12-04,2005-12-11,1
344,2005-12-11,2005-12-18,0
345,2005-12-18,2005-12-25,0
346,2005-12-25,2006-01-01,1
347,2006-01-01,2006-01-08,1
348,2006-01-08,2006-01-15,0
349,2006-01-15,2006-01-22,0
350,2006-01-22,2006-01-29,0
351,2006-01-29,2006-02-05,1
352,2006-02-05,2006-02-12,1
353,2006-02-12,2006-02-19,1
354,2006-02-19,2006-02-26,1
355,2006-02-26,2006-03-05,0
356,2006-03-05,2006-03-12,0
357,2006-03-12,2006-03-19,0
358,2006-03-19,2006-03-26,0
359,2006-03-26,2006-04-02,0
360,2006-04-02,2006-04-09,0
361,2006-04-09,2006-04-16,1
362,2006-04-16,2006-04-23,1
363,2006-04-23,2006-04-30,0
364,2006-04-30,2006-05-07,0
365,2006-05-07,2006-05-14,0
366,2006-05-14,2006-05-21,0
367,2006-05-21,2006-05-28,0
368,2006-05-28,2006-06-04,1
369,2006-06-04,2006-06-11,0
370,2006-06-11,2006-06-18,1
371,2006-06-18,2006-06-25,1
372,2006-06-25,2006-07-02,1
373,2006-07-02,2006-07-09,0
374,2006-07-09,2006-07-16,0
375,2006-07-16,2006-07-23,0
376,2006-07-23,2006-07-30,1
377,2006-07-30,2006-08-06,0
378,2006-08-06,2006-08-13,0
379,2006-08-13,2006-08-20,1
380,2006-08-20,2006-08-27,1
381,2006-08-27,2006-09-03,1
382,2006-09-03,2006-09-10,1
383,2006-09-10,2006-09-17,1
384,2006-09-17,2006-09-24,1
385,2006-09-24,2006-10-01,0
386,2006-10-01,2006-10-08,0
387,2006-10-08,2006-10-15,1
388,2006-10-15,2006-10-22,1
389,2006-10-22,2006-10-29,0
390,2006-10-29,2006-11-05,0
391,2006-11-05,2006-11-12,0
392,2006-11-12,2006-11-19,0
393,2006-11-19,2006-11-26,0
394,2006-11-26,2006-12-03,0
395,2006-12-03,2006-12-10,0
396,2006-12-10,2006-12-17,0
397,2006-12-17,2006-12-24,1
398,2006-12-24,2006-12-31,1
399,2006-12-31,2007-01-07,0
400,2007-01-07,2007-01-14,1
401,2007-01-14,2007-01-21,1
402,2007-01-21,2007-01-28,0
403,2007-01-28,2007-02-04,0
404,2007-02-04,2007-02-11,0
405,2007-02-11,2007-02-18,0
406,2007-02-18,2007-02-25,0
407,2007-02-25,2007-03-04,0
408,2007-03-04,2007-03-11,0
409,2007-03-11,2007-03-18,1
410,2007-03-18,2007-03-25,0
411,2007-03-25,2007-04-01,0
412,2007-04-01,2007-04-08,0
413,2007-04-08,2007-04-15,0
414,2007-04-15,2007-04-22,0
415,2007-04-22,2007-04-29,0
416,2007-04-29,2007-05-06,0
417,2007-05-06,2007-05-13,1
418,2007-05-13,2007-05-20,1
419,2007-05-20,2007-05-27,1
420,2007-05-27,2007-06-03,1
421,2007-06-03,2007-06-10,0
422,2007-06-10,2007-06-17,0
423,2007-06-17,2007-06-24,0
424,2007-06-24,2007-07-01,0
425,2007-07-01,2007-07-08,0
426,2007-07-08,2007-07-15,0
427,2007-07-15,2007-07-22,0
428,2007-07-22,2007-07-29,0
429,2007-07-29,2007-08-05,1
430,2007-08-05,2007-08-12,1
431,2007-08-12,2007-08-19,1
432,2007-08-19,2007-08-26,1
433,2007-08-26,2007-09-02,0
434,2007-09-02,2007-09-09,0
435,2007-09-09,2007-09-16,0
436,2007-09-16,2007-09-23,0
437,2007-09-23,2007-09-30,0
438,2007-09-30,2007-10-07,0
439,2007-10-07,2007-10-14,0
440,2007-10-14,2007-10-21,1
441,2007-10-21,2007-10-28,0
442,2007-10-28,2007-11-04,0
443,2007-11-04,2007-11-11,0
444,2007-11-11,2007-11-18,0
445,2007-11-18,2007-11-25,0
446,2007-11-25,2007-12-02,0
447,2007-12-02,2007-12-09,1
448,2007-12-09,2007-12-16,1
449,2007-12-16,2007-12-23,1
450,2007-12-23,2007-12-30,1
451,2007-12-30,2008-01-06,0
452,2008-01-06,2008-01-13,0
453,2008-01-13,2008-01-20,0
454,2008-01-20,2008-01-27,1
455,2008-01-27,2008-02-03,1
456,2008-02-03,2008-02-10,0
457,2008-02-10,2008-02-17,1
458,2008-02-17,2008-02-24,1
459,2008-02-24,2008-03-02,0
460,2008-03-02,2008-03-09,0
461,2008-03-09,2008-03-16,0
462,2008-03-16,2008-03-23,0
463,2008-03-23,2008-03-30,1
464,2008-03-30,2008-04-06,0
465,2008-04-06,2008-04-13,0
466,2008-04-13,2008-04-20,0
467,2008-04-20,2008-04-27,0
468,2008-04-27,2008-05-04,1
469,2008-05-04,2008-05-11,1
470,2008-05-11,2008-05-18,1
471,2008-05-18,2008-05-25,0
472,2008-05-25,2008-06-01,0
473,2008-06-01,2008-06-08,0
474,2008-06-08,2008-06-15,0
475,2008-06-15,2008-06-22,1
476,2008-06-22,2008-06-29,1
477,2008-06-29,2008-07-06,0
478,2008-07-06,2008-07-13,0
479,2008-07-13,2008-07-20,0
480,2008-07-20,2008-07-27,1
481,2008-07-27,2008-08-03,1
482,2008-08-03,2008-08-10,1
483,2008-08-10,2008-08-17,1
484,2008-08-17,2008-08-24,1
485,2008-08-24,2008-08-31,0
486,2008-08-31,2008-09-07,0
487,2008-09-07,2008-09-14,1
488,2008-09-14,2008-09-21,1
489,2008-09-21,2008-09-28,0
490,2008-09-28,2008-10-05,0
491,2008-10-05,2008-10-12,1
492,2008-10-12,2008-10-19,1
493,2008-10-19,2008-10-26,1
494,2008-10-26,2008-11-02,1
495,2008-11-02,2008-11-09,1
496,2008-11-09,2008-11-16,1
497,2008-11-16,2008-11-23,1
498,2008-11-23,2008-11-30,1
499,2008-11-30,2008-12-07,0
500,2008-12-07,2008-12-14,0
501,2008-12-14,2008-12-21,0
502,2008-12-21,2008-12-28,0
503,2008-12-28,2009-01-04,0
504,2009-01-04,2009-01-11,0
505,2009-01-11,2009-01-18,1
506,2009-01-18,2009-01-25,1
507,2009-01-25,2009-02-01,1
508,2009-02-01,2009-02-08,1
509,2009-02-08,2009-02-15,0
510,2009-02-15,2009-02-22,0
511,2009-02-22,2009-03-01,0
512,2009-03-01,2009-03-08,1
513,2009-03-08,2009-03-15,1
514,2009-03-15,2009-03-22,0
515,2009-03-22,2009-03-29,0
516,2009-03-29,2009-04-05,0
517,2009-04-05,2009-04-12,0
518,2009-04-12,2009-04-19,1
519,2009-04-19,2009-04-26,1
520,2009-04-26,2009-05-03,0
521,2009-05-03,2009-05-10,0
522,2009-05-10,2009-05-17,0
523,2009-05-17,2009-05-24,1
524,2009-05-24,2009-05-31,0
525,2009-05-31,2009-06-07,0
526,2009-06-07,2009-06-14,1
527,2009-06-14,2009-06-21,1
528,2009-06-21,2009-06-28,1
529,2009-06-28,2009-07-05,1
530,2009-07-05,2009-07-12,1
531,2009-07-12,2009-07-19,1
532,2009-07-19,2009-07-26,0
